Product,Created_at,UF,Unit,volume,year_month
QUEROSENE ILUMINANTE (m3),2000,RIO GRANDE DO NORTE,m3,182.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,PARAÍBA,m3,5.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,PERNAMBUCO,m3,258.55,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,ALAGOAS,m3,0.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,SERGIPE,m3,0.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,BAHIA,m3,705.05,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,MINAS GERAIS,m3,661.473,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,ESPÍRITO SANTO,m3,5.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,RIO DE JANEIRO,m3,1381.52,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,SÃO PAULO,m3,4031.985,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,PARANÁ,m3,749.104,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,SANTA CATARINA,m3,454.75,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,RIO GRANDE DO SUL,m3,1519.586,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,MATO GROSSO DO SUL,m3,0.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,MATO GROSSO,m3,4.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,GOIÁS,m3,70.0,2000-01-01
QUEROSENE ILUMINANTE (m3),2000,DISTRITO FEDERAL,m3,49.4,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,RONDÔNIA,m3,1933.558,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,ACRE,m3,1154.561,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,AMAZONAS,m3,10000.236,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,RORAIMA,m3,455.357,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,PARÁ,m3,6652.615,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,AMAPÁ,m3,419.187,2000-01-01
